iter	AUC	Logloss
0	0.6867331266	0.6908901372
1	0.7079271376	0.6886450628
2	0.7128396332	0.6864680998
3	0.7243898213	0.6842583597
4	0.7258947194	0.6820606611
5	0.729166925	0.6798875106
6	0.7311944366	0.6777465793
7	0.7320235372	0.6756102042
8	0.7326489091	0.673474852
9	0.7336705923	0.6713490773
10	0.7342869639	0.6692356695
11	0.7346278131	0.6671482511
12	0.7348001003	0.6650839858
13	0.7359099984	0.6630294375
14	0.7363694906	0.6610354224
15	0.7354287207	0.6590113732
16	0.7360002995	0.6570177765
17	0.7365884483	0.6550230175
18	0.7365270853	0.6530108703
19	0.7368960083	0.6510329881
20	0.7369260192	0.6490863953
21	0.7376292646	0.6471362225
22	0.737886548	0.6452294738
23	0.7386482656	0.6433051973
24	0.7387089133	0.6413943572
25	0.7394655049	0.6394875155
26	0.7402658165	0.6376211686
27	0.7407055497	0.6357577044
28	0.7406183183	0.6339159056
29	0.7409525216	0.632069597
30	0.7420009971	0.6302573674
31	0.7429263592	0.6284449983
32	0.7440007925	0.6266417417
33	0.7451425195	0.6248747958
34	0.7456170917	0.6231304917
35	0.7457895875	0.6213666142
36	0.7457333505	0.6196066887
37	0.7465663254	0.6178900476
38	0.7468952537	0.6161583894
39	0.747249037	0.6144476528
40	0.7470213175	0.6127310117
41	0.7479267418	0.6110537033
42	0.7483706772	0.6093758834
43	0.7484596074	0.6077081988
44	0.7491263747	0.6060614359
45	0.7500324249	0.6044190432
46	0.7507207394	0.6027889711
47	0.7511049211	0.6012185953
48	0.7511801422	0.5996120018
49	0.751544565	0.5980316766
50	0.7517285347	0.5964375896
51	0.7525381744	0.5948804642
52	0.7526113689	0.5933224553
53	0.7530449629	0.591776767
54	0.7534577847	0.5902271733
55	0.7536502182	0.588712077
56	0.7537353635	0.5871820567
57	0.7542338967	0.5856715631
58	0.7542583048	0.5841636267
59	0.7545149922	0.5826974405
60	0.7549059093	0.5812244198
61	0.7553237975	0.5797574897
62	0.7558027208	0.5782921869
63	0.7557657361	0.5768278604
64	0.7559549212	0.5753830607
65	0.756200403	0.5739499306
66	0.7565288246	0.5725359554
67	0.7565957904	0.571110915
68	0.7568785548	0.5697229291
69	0.7572907209	0.5683461014
