iter	Passed	Remaining
0	66	6660487
1	130	6511986
2	185	6195548
3	244	6102952
4	306	6123430
5	361	6024325
6	415	5937012
7	469	5862542
8	522	5802435
9	577	5769840
10	630	5729490
11	682	5689028
12	736	5662261
13	789	5636528
14	844	5626403
15	896	5600594
16	950	5589465
17	1004	5579224
18	1058	5569046
19	1111	5556212
20	1162	5536148
21	1215	5524959
22	1266	5505161
23	1319	5496211
24	1373	5492467
25	1428	5492368
26	1483	5493677
27	1537	5490455
28	1591	5484964
29	1644	5479054
30	1696	5471670
31	1749	5465574
32	1804	5465714
33	1855	5454571
34	1906	5446242
35	1959	5441059
36	2012	5437240
37	2065	5433059
38	2118	5430301
39	2169	5422665
40	2223	5422124
41	2277	5420371
42	2331	5419232
43	2386	5420375
44	2439	5419422
45	2492	5417055
46	2545	5412660
47	2597	5409814
48	2651	5407795
49	2704	5406072
50	2757	5403905
51	2808	5398912
52	2864	5401362
53	2916	5398287
54	2971	5398861
55	3024	5397400
56	3076	5394420
57	3128	5390362
58	3180	5386945
59	3232	5384464
60	3283	5380219
61	3336	5377933
62	3389	5376001
63	3445	5379534
64	3499	5379717
65	3551	5377176
66	3604	5375638
67	3659	5378496
68	3712	5376717
69	3766	5376719
70	3819	5375350
71	3870	5371986
72	3925	5373103
73	3980	5374462
74	4036	5378191
75	4091	5379952
76	4148	5383146
77	4201	5382026
78	4251	5377400
79	4307	5379574
80	4359	5378161
81	4412	5376325
82	4468	5378693
83	4520	5376829
84	4572	5374381
85	4623	5371169
86	4677	5371187
87	4729	5369597
88	4781	5368234
89	4835	5367546
90	4888	5366555
91	4943	5368070
92	4995	5366867
93	5048	5365693
94	5102	5365834
95	5155	5365495
96	5209	5365150
97	5265	5367582
98	5318	5366494
99	5371	5366539
100	5424	5365610
101	5475	5362517
102	5527	5361432
103	5579	5359283
104	5633	5359855
105	5687	5359477
106	5739	5358593
107	5792	5357533
108	5844	5356090
109	5898	5356764
110	5952	5356746
111	6005	5355763
112	6057	5354930
113	6110	5354121
114	6163	5353394
115	6216	5352608
116	6266	5350126
117	6321	5350912
118	6373	5349171
119	6427	5349943
120	6480	5349411
121	6533	5348685
122	6585	5347379
123	6636	5345635
124	6687	5343385
125	6741	5343354
126	6794	5343517
127	6848	5343642
128	6904	5345442
129	6958	5346012
130	7011	5345413
131	7066	5346272
132	7117	5344374
133	7169	5343422
134	7224	5344150
135	7278	5344710
136	7331	5344315
137	7387	5345621
138	7438	5343701
139	7492	5344585
140	7546	5344459
141	7599	5344169
142	7652	5343397
143	7705	5343566
144	7757	5342213
145	7810	5342043
146	7863	5341474
147	7915	5340359
148	7968	5339868
149	8021	5339353
150	8073	5338641
151	8124	5337208
152	8175	5335481
153	8227	5334312
154	8281	5334740
155	8332	5332793
156	8384	5332028
157	8435	5330195
158	8487	5329304
